Нікарагуа,https://uk.wikipedia.org/wiki/%D0%9D%D1%96%D0%BA%D0%B0%D1%80%D0%B0%D0%B3%D1%83%D0%B0,Манагуа,іспанська мова,,Кордоба ( NIO ),+505,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Flag_of_Nicaragua.svg/125px-Flag_of_Nicaragua.svg.png
Нідерланди,https://uk.wikipedia.org/wiki/%D0%9D%D1%96%D0%B4%D0%B5%D1%80%D0%BB%D0%B0%D0%BD%D0%B4%D0%B8,Амстердам,"нідерландська , західнофризька мова (друга офіційна, тільки в провінції Фрисландія)",,Євро ( EUR ),+31,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Flag_of_the_Netherlands.svg/125px-Flag_of_the_Netherlands.svg.png
Нігер,https://uk.wikipedia.org/wiki/%D0%9D%D1%96%D0%B3%D0%B5%D1%80,Ніамей,Французька,від Франції,франк КФА ( XOF ),+227,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Flag_of_Niger.svg/125px-Flag_of_Niger.svg.png
Німеччина,https://uk.wikipedia.org/wiki/%D0%9D%D1%96%D0%BC%D0%B5%D1%87%D1%87%D0%B8%D0%BD%D0%B0,Берлін,німецька 1,Невідомо,Євро ( € ) ( EUR ),+49,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Flag_of_Germany.svg/125px-Flag_of_Germany.svg.png
М'янма,https://uk.wikipedia.org/wiki/%D0%9C%27%D1%8F%D0%BD%D0%BC%D0%B0,Найп'їдо  [ 1 ],бірманська,4 січня  1948,м'янмський к'ят ( Класифікація валют (ISO 4217) ),+95,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Flag_of_Myanmar.svg/125px-Flag_of_Myanmar.svg.png
Науру,https://uk.wikipedia.org/wiki/%D0%9D%D0%B0%D1%83%D1%80%D1%83,.mw-parser-output .ts-comment-commentedText{border-bottom:1px dotted;cursor:help}@media(hover:none){.mw-parser-output .ts-comment-commentedText:not(.rt-commentedText){border-bottom:0;cursor:auto}} відсутня,Науруанська,від Великої Британії та Австралії,Австралійський долар ( AUD ),+674,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Flag_of_Nauru.svg/125px-Flag_of_Nauru.svg.png
Намібія,https://uk.wikipedia.org/wiki/%D0%9D%D0%B0%D0%BC%D1%96%D0%B1%D1%96%D1%8F,Віндгук,англійська,від ПАР,Намібійський долар ( NAD ),+264,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Flag_of_Namibia.svg/125px-Flag_of_Namibia.svg.png
Монголія,https://uk.wikipedia.org/wiki/%D0%9C%D0%BE%D0%BD%D0%B3%D0%BE%D0%BB%D1%96%D1%8F,Улан-Батор,Монгольська,Невідомо,Тугрик ( MNT ),+976,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Flag_of_Mongolia.svg/125px-Flag_of_Mongolia.svg.png
Непал,https://uk.wikipedia.org/wiki/%D0%9D%D0%B5%D0%BF%D0%B0%D0%BB,Катманду,непальська,Невідомо,Непальська рупія ( Класифікація валют (ISO 4217) ),+977,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Flag_of_Nepal.svg/125px-Flag_of_Nepal.svg.png
Монако,https://uk.wikipedia.org/wiki/%D0%9C%D0%BE%D0%BD%D0%B0%D0%BA%D0%BE,Монако  43°44′ пн. ш. 7°24′ сх. д. country H  G  O,французька,,Євро ( EUR ),+377,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Flag_of_Monaco.svg/125px-Flag_of_Monaco.svg.png
Мальдіви,https://uk.wikipedia.org/wiki/%D0%9C%D0%B0%D0%BB%D1%8C%D0%B4%D1%96%D0%B2%D0%B8,Мале,мальдівська,26 липня  1965,Мальдівська руфія ( Класифікація валют (ISO 4217) ),+960,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Flag_of_Maldives.svg/125px-Flag_of_Maldives.svg.png
Мальта,https://uk.wikipedia.org/wiki/%D0%9C%D0%B0%D0%BB%D1%8C%D1%82%D0%B0,Валлетта,"мальтійська , англійська",від Великої Британії,Євро ( EUR ),+356,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Flag_of_Malta.svg/125px-Flag_of_Malta.svg.png
Марокко,https://uk.wikipedia.org/wiki/%D0%9C%D0%B0%D1%80%D0%BE%D0%BA%D0%BA%D0%BE,Рабат  34°02′ пн. ш. 6°51′ зх. д. country H  G  O,"арабська , берберська . Населення використовує французьку (60 %), арабську (30 %) та іспанську (5 %).",,Марокканський дирхам ( MAD ),+212,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Flag_of_Morocco.svg/125px-Flag_of_Morocco.svg.png
Мексика,https://uk.wikipedia.org/wiki/%D0%9C%D0%B5%D0%BA%D1%81%D0%B8%D0%BA%D0%B0,Мехіко,іспанська мова,,Мексиканський песо ( MXN ),+52,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Flag_of_Mexico.svg/125px-Flag_of_Mexico.svg.png
Мікронезія,https://uk.wikipedia.org/wiki/%D0%A4%D0%B5%D0%B4%D0%B5%D1%80%D0%B0%D1%82%D0%B8%D0%B2%D0%BD%D1%96_%D0%A8%D1%82%D0%B0%D1%82%D0%B8_%D0%9C%D1%96%D0%BA%D1%80%D0%BE%D0%BD%D0%B5%D0%B7%D1%96%D1%97,Палікір  6°55′ пн. ш. 158°09′ сх. д. country H  G  O,"англійська (державна), улітійська , волеаянська , япська , понпейська , косрае та чуукська (на місцевому рівні)",від США,Долар США ( USD ),+691,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Flag_of_the_Federated_States_of_Micronesia.svg/125px-Flag_of_the_Federated_States_of_Micronesia.svg.png
Малі,https://uk.wikipedia.org/wiki/%D0%9C%D0%B0%D0%BB%D1%96,Бамако,"Бамана , сонінке , хасанія , бому , тамашек , сонхай , фульфульде , бозо , манінканкан , догон , сієнара , мамара та хасонгаксанго",від Франції,КФА франк BCEAO ( XOF ),+223,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Flag_of_Mali.svg/250px-Flag_of_Mali.svg.png
Молдова,https://uk.wikipedia.org/wiki/%D0%9C%D0%BE%D0%BB%D0%B4%D0%BE%D0%B2%D0%B0,Кишинів  47°00′ пн. ш. 28°55′ сх. д. country H  G  O,румунська [ 1 ] [ 2 ] [ 3 ] [ 4 ],Невідомо,Лей ( MDL ),+373,https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Flag_of_Moldova.svg/125px-Flag_of_Moldova.svg.png
Маршаллові Острови,https://uk.wikipedia.org/wiki/%D0%9C%D0%B0%D1%80%D1%88%D0%B0%D0%BB%D0%BB%D0%BE%D0%B2%D1%96_%D0%9E%D1%81%D1%82%D1%80%D0%BE%D0%B2%D0%B8,Маджуро,"маршалезька , англійська",,долар США ( USD ),+692,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Flag_of_the_Marshall_Islands.svg/250px-Flag_of_the_Marshall_Islands.svg.png
Мозамбік,https://uk.wikipedia.org/wiki/%D0%9C%D0%BE%D0%B7%D0%B0%D0%BC%D0%B1%D1%96%D0%BA,Мапуту,Португальська,,метікал (Mt) ( MZM ),+258,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Flag_of_Mozambique.svg/125px-Flag_of_Mozambique.svg.png
Малайзія,https://uk.wikipedia.org/wiki/%D0%9C%D0%B0%D0%BB%D0%B0%D0%B9%D0%B7%D1%96%D1%8F,"Куала-Лумпур ( король , парламент ) Путраджая ( уряд ) 3°08′ пн. ш. 101°42′ сх. д. country H  G  O",Малайська,,Ринґіт (RM) ( MYR ),+60,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Flag_of_Malaysia.svg/125px-Flag_of_Malaysia.svg.png
Малаві,https://uk.wikipedia.org/wiki/%D0%9C%D0%B0%D0%BB%D0%B0%D0%B2%D1%96,Лілонґве,Англійська (офіційна) Ньянджа (національна),від Великої Британії,Малавійська квача (D) ( MWK ),+265,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Flag_of_Malawi.svg/125px-Flag_of_Malawi.svg.png
Мадагаскар,https://uk.wikipedia.org/wiki/%D0%9C%D0%B0%D0%B4%D0%B0%D0%B3%D0%B0%D1%81%D0%BA%D0%B0%D1%80,Антананаріву  18°55′ пд. ш. 47°31′ сх. д. country H  G  O,"Малагасійська , французька",від Франції,Малаґасійський аріарі ( MGA ),+261,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Flag_of_Madagascar.svg/250px-Flag_of_Madagascar.svg.png
Мавританія,https://uk.wikipedia.org/wiki/%D0%9C%D0%B0%D0%B2%D1%80%D0%B8%D1%82%D0%B0%D0%BD%D1%96%D1%8F,Нуакшот,"Стандартна арабська , французька",від Франції,Мавританська угія ( MRO ),+222,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Flag_of_Mauritania.svg/250px-Flag_of_Mauritania.svg.png
Люксембург,https://uk.wikipedia.org/wiki/%D0%9B%D1%8E%D0%BA%D1%81%D0%B5%D0%BC%D0%B1%D1%83%D1%80%D0%B3,Люксембург,"люксембурзька , німецька і французька",від Французької імперії,Євро ( EUR ),+352,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Flag_of_Luxembourg.svg/125px-Flag_of_Luxembourg.svg.png
Ліхтенштейн,https://uk.wikipedia.org/wiki/%D0%9B%D1%96%D1%85%D1%82%D0%B5%D0%BD%D1%88%D1%82%D0%B5%D0%B9%D0%BD,Вадуц,Німецька,,Швейцарський франк ( CHF ),+423,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Flag_of_Liechtenstein.svg/250px-Flag_of_Liechtenstein.svg.png
Маврикій,https://uk.wikipedia.org/wiki/%D0%9C%D0%B0%D0%B2%D1%80%D0%B8%D0%BA%D1%96%D0%B9,Порт-Луї,"Англійська , французька , маврикійська креольська",від Великої Британії,Маврикійська рупія ( MUR ),+230,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Flag_of_Mauritius.svg/125px-Flag_of_Mauritius.svg.png
Лівія,https://uk.wikipedia.org/wiki/%D0%9B%D1%96%D0%B2%D1%96%D1%8F,Триполі,Арабська,,Лівійський динар ( LYD ),+218,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Flag_of_Libya.svg/125px-Flag_of_Libya.svg.png
Ліван,https://uk.wikipedia.org/wiki/%D0%9B%D1%96%D0%B2%D0%B0%D0%BD,Бейрут,Арабська,Невідомо,Ліванський фунт ( LBP ),+961,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Flag_of_Lebanon.svg/125px-Flag_of_Lebanon.svg.png
Лесото,https://uk.wikipedia.org/wiki/%D0%9B%D0%B5%D1%81%D0%BE%D1%82%D0%BE,Масеру,"Сесото , Англійська",,Лоті ( LSL ),+266,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Flag_of_Lesotho.svg/125px-Flag_of_Lesotho.svg.png
Ліберія,https://uk.wikipedia.org/wiki/%D0%9B%D1%96%D0%B1%D0%B5%D1%80%D1%96%D1%8F,Монровія,Англійська,Невідомо,Ліберійський долар ( LRD ),+231,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Flag_of_Liberia.svg/125px-Flag_of_Liberia.svg.png
Латвія,https://uk.wikipedia.org/wiki/%D0%9B%D0%B0%D1%82%D0%B2%D1%96%D1%8F,Рига,Латиська,Невідомо,Євро ( EUR ),+371,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Flag_of_Latvia.svg/250px-Flag_of_Latvia.svg.png
Литва,https://uk.wikipedia.org/wiki/%D0%9B%D0%B8%D1%82%D0%B2%D0%B0,Вільнюс,литовська,Невідомо,Лит → Євро  (з 1 січня  2015 ) ( LTL → EUR ),+370,https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Flag_of_Lithuania.svg/250px-Flag_of_Lithuania.svg.png
Лаос,https://uk.wikipedia.org/wiki/%D0%9B%D0%B0%D0%BE%D1%81,В'єнтьян,лаоська,від Франції,Лаоський кіп (складається зі 100 атів) ( LAK ),+856,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Flag_of_Laos.svg/125px-Flag_of_Laos.svg.png
Кувейт,https://uk.wikipedia.org/wiki/%D0%9A%D1%83%D0%B2%D0%B5%D0%B9%D1%82,Ель-Кувейт,Арабська,,Кувейтський динар ( KWD ),+965,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Flag_of_Kuwait.svg/125px-Flag_of_Kuwait.svg.png
Куба,https://uk.wikipedia.org/wiki/%D0%9A%D1%83%D0%B1%D0%B0,Гавана,іспанська мова,,Кубинський песо ( CUP ),+53,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Flag_of_Cuba.svg/125px-Flag_of_Cuba.svg.png
Кот-д'Івуар,https://uk.wikipedia.org/wiki/%D0%9A%D0%BE%D1%82-%D0%B4%27%D0%86%D0%B2%D1%83%D0%B0%D1%80,Ямусукро (офіційно) Абіджан ( де факто ) 6°51′ пн. ш. 5°18′ зх. д. country H  G  O,Французька,від Франції,КФА франк BCEAO ( XOF ),Невідомо,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Flag_of_C%C3%B4te_d%27Ivoire.svg/125px-Flag_of_C%C3%B4te_d%27Ivoire.svg.png
Коморські Острови,https://uk.wikipedia.org/wiki/%D0%9A%D0%BE%D0%BC%D0%BE%D1%80%D1%81%D1%8C%D0%BA%D1%96_%D0%9E%D1%81%D1%82%D1%80%D0%BE%D0%B2%D0%B8,Мороні,"Коморська , Арабська , Французька",від Франції,Коморський франк ( KMF ),+269,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Flag_of_the_Comoros.svg/125px-Flag_of_the_Comoros.svg.png
Косово,https://uk.wikipedia.org/wiki/%D0%9A%D0%BE%D1%81%D0%BE%D0%B2%D0%BE,Приштина,"албанська , сербська Мови національних меншин: турецька , ґоранська, циганська , боснійська",Невідомо,євро ( EUR ),+383,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Flag_of_Kosovo.svg/125px-Flag_of_Kosovo.svg.png
Республіка Конго,https://uk.wikipedia.org/wiki/%D0%A0%D0%B5%D1%81%D0%BF%D1%83%D0%B1%D0%BB%D1%96%D0%BA%D0%B0_%D0%9A%D0%BE%D0%BD%D0%B3%D0%BE,Браззавіль,Французька,від Франції,КФА франк BEAC ( XAF ),+242,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Flag_of_the_Republic_of_the_Congo.svg/125px-Flag_of_the_Republic_of_the_Congo.svg.png
Кірибаті,https://uk.wikipedia.org/wiki/%D0%9A%D1%96%D1%80%D0%B8%D0%B1%D0%B0%D1%82%D1%96,Південна Тарава  1°28′ пн. ш. 173°02′ сх. д. country H  G  O,"кірибаті , англійська",,Австралійський долар ( AUD ),+686,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Flag_of_Kiribati.svg/125px-Flag_of_Kiribati.svg.png
Північна Корея,https://uk.wikipedia.org/wiki/%D0%9F%D1%96%D0%B2%D0%BD%D1%96%D1%87%D0%BD%D0%B0_%D0%9A%D0%BE%D1%80%D0%B5%D1%8F,Пхеньян,Корейська,Невідомо,Північнокорейська вона (₩) ( KPW ),+850,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Flag_of_North_Korea.svg/125px-Flag_of_North_Korea.svg.png
ДР Конго,https://uk.wikipedia.org/wiki/%D0%94%D0%B5%D0%BC%D0%BE%D0%BA%D1%80%D0%B0%D1%82%D0%B8%D1%87%D0%BD%D0%B0_%D0%A0%D0%B5%D1%81%D0%BF%D1%83%D0%B1%D0%BB%D1%96%D0%BA%D0%B0_%D0%9A%D0%BE%D0%BD%D0%B3%D0%BE,Кіншаса,Французька,,Конголезький франк ( CDF ),+243,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Flag_of_the_Democratic_Republic_of_the_Congo.svg/125px-Flag_of_the_Democratic_Republic_of_the_Congo.svg.png
Колумбія,https://uk.wikipedia.org/wiki/%D0%9A%D0%BE%D0%BB%D1%83%D0%BC%D0%B1%D1%96%D1%8F,Богота,іспанська мова,,Колумбійський песо ( COP ),+57,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Flag_of_Colombia.svg/125px-Flag_of_Colombia.svg.png
Коста-Рика,https://uk.wikipedia.org/wiki/%D0%9A%D0%BE%D1%81%D1%82%D0%B0-%D0%A0%D0%B8%D0%BA%D0%B0,Сан-Хосе,іспанська мова,,Костариканський колон ( CRC ),+506,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Flag_of_Costa_Rica_%28state%29.svg/125px-Flag_of_Costa_Rica_%28state%29.svg.png
Південна Корея,https://uk.wikipedia.org/wiki/%D0%9F%D1%96%D0%B2%D0%B4%D0%B5%D0%BD%D0%BD%D0%B0_%D0%9A%D0%BE%D1%80%D0%B5%D1%8F,Сеул,корейська ( pyojuneo [en] ) корейська жестова мова [en] [ 2 ],Невідомо,Південнокорейська вона (₩) ( KRW ),+82,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Flag_of_South_Korea.svg/250px-Flag_of_South_Korea.svg.png
Катар,https://uk.wikipedia.org/wiki/%D0%9A%D0%B0%D1%82%D0%B0%D1%80,Доха,Арабська,,Ріал ( QAR ),+974,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Flag_of_Qatar.svg/125px-Flag_of_Qatar.svg.png
Камбоджа,https://uk.wikipedia.org/wiki/%D0%9A%D0%B0%D0%BC%D0%B1%D0%BE%D0%B4%D0%B6%D0%B0,Пномпень,Кхмерська,від Французької республіки,Камбоджійський рієль (៛) 1 ( KHR ),+855,https://upload.wikimedia.org/wikipedia/commons/4/4c/Cambodia5-trans.png
Китай,https://uk.wikipedia.org/wiki/%D0%9A%D0%B8%D1%82%D0%B0%D0%B9%D1%81%D1%8C%D0%BA%D0%B0_%D0%9D%D0%B0%D1%80%D0%BE%D0%B4%D0%BD%D0%B0_%D0%A0%D0%B5%D1%81%D0%BF%D1%83%D0%B1%D0%BB%D1%96%D0%BA%D0%B0,Пекін,китайська (державна мова) монгольська уйгурська тибетська чжуанська інші (визнані регіональні) 2,Невідомо,Юань (RMB¥) 4 ( CNY ),+86 4,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/125px-Flag_of_the_People%27s_Republic_of_China.svg.png
Камерун,https://uk.wikipedia.org/wiki/%D0%9A%D0%B0%D0%BC%D0%B5%D1%80%D1%83%D0%BD,Яунде  3°52′ пн. ш. 11°31′ сх. д. country H  G  O,"Англійська , французька",від Франції і Великої Британії,франк КФА ( XAF ),+237,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Flag_of_Cameroon.svg/125px-Flag_of_Cameroon.svg.png
Кіпр,https://uk.wikipedia.org/wiki/%D0%9A%D1%96%D0%BF%D1%80,Нікосія Лефкосія (грецькою) Лефкоша (турецькою) 35°08′ пн. ш. 33°28′ сх. д. country H  G  O,"грецька , турецька [ 1 ]",Невідомо,євро ( EUR 7 ),+357 6,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Flag_of_Cyprus.svg/125px-Flag_of_Cyprus.svg.png
Кенія,https://uk.wikipedia.org/wiki/%D0%9A%D0%B5%D0%BD%D1%96%D1%8F,Найробі,"кісуахілі , англійська",від Великої Британії,Кенійський шилінг ( KES ),+254,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Flag_of_Kenya.svg/125px-Flag_of_Kenya.svg.png
Киргизстан,https://uk.wikipedia.org/wiki/%D0%9A%D0%B8%D1%80%D0%B3%D0%B8%D0%B7%D1%81%D1%82%D0%B0%D0%BD,Бішкек,Киргизька  (державна) Російська  (офіційна),Невідомо,Сом ( KGS ),+996,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Flag_of_Kyrgyzstan.svg/125px-Flag_of_Kyrgyzstan.svg.png
Канада,https://uk.wikipedia.org/wiki/%D0%9A%D0%B0%D0%BD%D0%B0%D0%B4%D0%B0,Оттава  45°24′ пн. ш. 75°40′ зх. д. country H  G  O,"англійська мова , французька мова",Канадська конфедерація,Канадський долар ( CAD ),+1,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Flag_of_Canada_%28Pantone%29.svg/125px-Flag_of_Canada_%28Pantone%29.svg.png
Казахстан,https://uk.wikipedia.org/wiki/%D0%9A%D0%B0%D0%B7%D0%B0%D1%85%D1%81%D1%82%D0%B0%D0%BD,Астана,"Казахська ,  Російська",Невідомо,Тенге ( KZT ),+7,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Flag_of_Kazakhstan.svg/250px-Flag_of_Kazakhstan.svg.png
Кабо-Верде,https://uk.wikipedia.org/wiki/%D0%9A%D0%B0%D0%B1%D0%BE-%D0%92%D0%B5%D1%80%D0%B4%D0%B5,Прая,Португальська,від Португалії,Ескудо Кабо-Верде ( CVE ),+238,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Flag_of_Cape_Verde.svg/125px-Flag_of_Cape_Verde.svg.png
Італія,https://uk.wikipedia.org/wiki/%D0%86%D1%82%D0%B0%D0%BB%D1%96%D1%8F,Рим,Італійська,Невідомо,€ Євро ( EUR ),+39,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Flag_of_Italy.svg/125px-Flag_of_Italy.svg.png
Іспанія,https://uk.wikipedia.org/wiki/%D0%86%D1%81%D0%BF%D0%B0%D0%BD%D1%96%D1%8F,Мадрид,іспанська,Невідомо,Євро ( EUR ),+34,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Spain.svg/125px-Flag_of_Spain.svg.png
Йорданія,https://uk.wikipedia.org/wiki/%D0%99%D0%BE%D1%80%D0%B4%D0%B0%D0%BD%D1%96%D1%8F,Амман,Арабська,,Йорданський динар ( JOD ),+962,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Flag_of_Jordan.svg/125px-Flag_of_Jordan.svg.png
Ірландія,https://uk.wikipedia.org/wiki/%D0%86%D1%80%D0%BB%D0%B0%D0%BD%D0%B4%D1%96%D1%8F,Дублін,"ірландська , англійська",від Сполученого Королівства Великої Британії та Ірландії,Євро 1 ( EUR ),+353,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Flag_of_Ireland.svg/125px-Flag_of_Ireland.svg.png
Іран,https://uk.wikipedia.org/wiki/%D0%86%D1%80%D0%B0%D0%BD,Тегеран,Перська (фарсі),,Іранський ріал ( IRR ),+98,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Flag_of_Iran.svg/125px-Flag_of_Iran.svg.png
Ісландія,https://uk.wikipedia.org/wiki/%D0%86%D1%81%D0%BB%D0%B0%D0%BD%D0%B4%D1%96%D1%8F,Рейк'явік,Ісландська мова Ісландська мова жестів [ 1 ] [ 2 ],від Королівства Данія,Ісландська крона ( ISK ),+354,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Flag_of_Iceland.svg/125px-Flag_of_Iceland.svg.png
Ірак,https://uk.wikipedia.org/wiki/%D0%86%D1%80%D0%B0%D0%BA,Багдад 2  33°20′ пн. ш. 44°26′ сх. д. country H  G  O,"Арабська , Курдська",,Іракський динар ( IQD ),+964,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Flag_of_Iraq.svg/125px-Flag_of_Iraq.svg.png
Зімбабве,https://uk.wikipedia.org/wiki/%D0%97%D1%96%D0%BC%D0%B1%D0%B0%D0%B1%D0%B2%D0%B5,Хараре,"Шона , Ісіндебеле , Англійська",,Долар США ( ZWD ),+263,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Flag_of_Zimbabwe.svg/250px-Flag_of_Zimbabwe.svg.png
Індія,https://uk.wikipedia.org/wiki/%D0%86%D0%BD%D0%B4%D1%96%D1%8F,Нью-Делі,Гінді та англійська,15 серпня  1947,Індійська рупія ( INR ),+91,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Flag_of_India.svg/125px-Flag_of_India.svg.png
Ізраїль,https://uk.wikipedia.org/wiki/%D0%86%D0%B7%D1%80%D0%B0%D1%97%D0%BB%D1%8C,Єрусалим (загалом невизнана) [ fn 1 ]  31°47′ пн. ш. 35°13′ сх. д. country H  G  O,"Іврит , арабська мова [ 9 ] [ 10 ]",,Ізраїльський новий шекель ( ILS ),+972,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Flag_of_Israel.svg/125px-Flag_of_Israel.svg.png
Ємен,https://uk.wikipedia.org/wiki/%D0%84%D0%BC%D0%B5%D0%BD,Сана,Арабська,Невідомо,Єменський ріал ( YER ),+967,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Flag_of_Yemen.svg/125px-Flag_of_Yemen.svg.png
Замбія,https://uk.wikipedia.org/wiki/%D0%97%D0%B0%D0%BC%D0%B1%D1%96%D1%8F,Лусака  15°25′ пд. ш. 28°17′ сх. д. country H  G  O,Англійська,від Великої Британії,Замбійська квача ( ZMW ),+260,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Flag_of_Zambia.svg/125px-Flag_of_Zambia.svg.png
Індонезія,https://uk.wikipedia.org/wiki/%D0%86%D0%BD%D0%B4%D0%BE%D0%BD%D0%B5%D0%B7%D1%96%D1%8F,Джакарта,Індонезійська,від Нідерландів,рупія ( IDR ),+62,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Flag_of_Indonesia.svg/125px-Flag_of_Indonesia.svg.png
Західна Сахара,https://uk.wikipedia.org/wiki/%D0%97%D0%B0%D1%85%D1%96%D0%B4%D0%BD%D0%B0_%D0%A1%D0%B0%D1%85%D0%B0%D1%80%D0%B0,Ель-Аюн,Невідомо,Невідомо,Марокканський дирхам Сахравійська песета,Невідомо,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Westernsaharamap.png/300px-Westernsaharamap.png
Есватіні,https://uk.wikipedia.org/wiki/%D0%95%D1%81%D0%B2%D0%B0%D1%82%D1%96%D0%BD%D1%96,Лобамба  (королівська та законодавча) Мбабане  (адміністративна; координати нижче),"свазі , англійська",,Ліланджені ( SZL ),+268,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Flag_of_Eswatini.svg/125px-Flag_of_Eswatini.svg.png
Домініканська Республіка,https://uk.wikipedia.org/wiki/%D0%94%D0%BE%D0%BC%D1%96%D0%BD%D1%96%D0%BA%D0%B0%D0%BD%D1%81%D1%8C%D0%BA%D0%B0_%D0%A0%D0%B5%D1%81%D0%BF%D1%83%D0%B1%D0%BB%D1%96%D0%BA%D0%B0,Санто-Домінго,іспанська мова,,Домініканський песо ( DOP ),+809,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Flag_of_the_Dominican_Republic.svg/125px-Flag_of_the_Dominican_Republic.svg.png
Еритрея,https://uk.wikipedia.org/wiki/%D0%95%D1%80%D0%B8%D1%82%D1%80%D0%B5%D1%8F,Асмера,"немає; фактично: тигринья та арабська , в меншій мірі: англійська та італійська",від Ефіопії,Накфа ( ERN ),+291,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Flag_of_Eritrea.svg/125px-Flag_of_Eritrea.svg.png
Екваторіальна Гвінея,https://uk.wikipedia.org/wiki/%D0%95%D0%BA%D0%B2%D0%B0%D1%82%D0%BE%D1%80%D1%96%D0%B0%D0%BB%D1%8C%D0%BD%D0%B0_%D0%93%D0%B2%D1%96%D0%BD%D0%B5%D1%8F,Малабо,"іспанська [ 1 ] , португальська [ 2 ]",12 жовтня  1968 р. (від Іспанії ),африканський франк ( [[Класифікація валют (ISO 4217)| XAF ]] ),+240,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Flag_of_Equatorial_Guinea.svg/125px-Flag_of_Equatorial_Guinea.svg.png
